_X,_Y,ID,Coordinates
3.39027,35.4303,1,"POINT 3390.26657,34800.25256"
3.39027,34.8903,2,"POINT 3390.26657,34120.25252"
3.39027,34.1203,3,"POINT 3390.26657,33600.25256"
3.39027,33.6003,4,"POINT 3390.26657,33237.25254"
3.39027,33.2373,5,"POINT 3390.26657,32737.25254"
3.39027,32.7373,6,"POINT 3390.26657,32237.25254"
3.39027,32.2373,7,"POINT 3390.26657,31737.25254"
3.39027,31.7373,8,"POINT 3890.26657,31737.25254"
3.89027,31.7373,9,"POINT 4390.26657,31737.25254"
4.39027,31.7373,10,"POINT 4890.26657,31737.25254"
4.89027,31.7373,11,"POINT 5390.26657,31737.25254"
5.39027,31.7373,12,"POINT 5796.26657,31737.25254"
5.79627,31.7373,13,"POINT 6296.26657,31737.25254"
6.29627,31.7373,14,"POINT 6296.26657,32237.25254"
6.29627,32.2373,15,"POINT 6296.26657,32737.25254"
6.29627,32.7373,16,"POINT 6296.26657,33237.25254"
6.29627,33.2373,17,"POINT 6296.26657,33600.25256"
6.29627,33.6003,18,"POINT 6296.26657,34120.25252"
6.29627,34.1203,19,"POINT 6296.26657,34800.25256"
6.29627,34.8003,20,"POINT 6296.26657,35320.25252"
6.29627,35.3203,21,"POINT 3890.26657,31237.25254"
3.89027,31.2373,22,"POINT 3890.26657,30737.25254"
3.89027,30.7373,23,"POINT 3890.26657,30237.25254"
3.89027,30.2373,24,"POINT 3890.26657,29737.25254"
3.89027,29.7373,25,"POINT 3890.26657,29237.25254"
3.89027,29.2373,26,"POINT 3890.26657,28737.25254"
3.89027,28.7373,27,"POINT 3890.26657,28237.25254"
3.89027,28.2373,28,"POINT 3890.26657,27737.25254"
3.89027,27.7373,29,"POINT 3890.26657,27237.25254"
3.89027,27.2373,30,"POINT 3890.26657,26737.25254"
3.89027,26.7373,31,"POINT 3890.26657,26345.00467"
3.89027,26.345,32,"POINT 3890.26657,25845.00467"
3.89027,25.845,33,"POINT 4390.26657,25845.00467"
4.39027,25.845,34,"POINT 4883.28191,25845.00467"
4.88328,25.845,35,"POINT 5383.28191,25845.00467"
5.38328,25.845,36,"POINT 5706.17285,25845.00467"
5.70617,25.845,37,"POINT 6206.17285,25845.00467"
