_X,_Y,ID
33.9026657,348.0025256,1
33.9026657,341.2025252,2
33.9026657,336.0025256,3
33.9026657,332.3725254,4
33.9026657,327.3725254,5
33.9026657,322.3725254,6
33.9026657,317.3725254,7
38.9026657,317.3725254,8
43.9026657,317.3725254,9
48.9026657,317.3725254,10
53.9026657,317.3725254,11
57.9626657,317.3725254,12
62.9626657,317.3725254,13
62.9626657,322.3725254,14
62.9626657,327.3725254,15
62.9626657,332.3725254,16
62.9626657,336.0025256,17
62.9626657,341.2025252,18
62.9626657,348.0025256,19
62.9626657,353.2025252,20
38.9026657,312.3725254,21
38.9026657,307.3725254,22
38.9026657,302.3725254,23
38.9026657,297.3725254,24
38.9026657,292.3725254,25
38.9026657,287.3725254,26
38.9026657,282.3725254,27
38.9026657,277.3725254,28
38.9026657,272.3725254,29
38.9026657,267.3725254,30
38.9026657,263.4500467,31
38.9026657,258.4500467,32
43.9026657,258.4500467,33
48.8328191,258.4500467,34
53.8328191,258.4500467,35
57.0617285,258.4500467,36
62.0617285,258.4500467,37
62.0617285,253.4500467,38
62.0617285,248.4500467,39
62.0617285,243.4500467,40
62.0617285,238.4500467,41
62.0617285,233.4500467,42
62.0617285,228.4500467,43
62.0617285,223.4500467,44
62.0617285,218.4500467,45
62.0617285,213.4500467,46
62.0617285,208.4500467,47
62.0617285,203.4500467,48
62.0617285,198.4500467,49
62.0617285,193.4500467,50
62.0617285,188.4500467,51
62.0617285,183.4500467,52
62.0617285,178.4500467,53
62.0617285,173.4500467,54
62.0617285,168.4500467,55
62.0617285,163.4500467,56
62.0617285,158.4500467,57
62.0617285,153.4500467,58
62.0617285,148.4500467,59
62.0617285,143.4500467,60
62.0617285,138.4500467,61
62.0617285,133.4500467,62
62.0617285,128.4500467,63
62.0617285,123.4500467,64
62.0617285,118.4099491,65
62.0617285,113.4099491,66
62.0617285,108.4099491,67
62.0617285,105.2799998,68
62.0617285,100.2799998,69
62.0617285,95.2799998,70
62.0617285,90.0800002,71
62.0617285,83.2799998,72
62.0617285,78.0800002,73
62.0617285,70.9299998,74
62.0617285,65.7300002,75
62.0617285,58.9299998,76
62.0617285,53.7300002,77
67.0617285,113.4099491,78
72.0617285,113.4099491,79
77.0617285,113.4099491,80
82.0617285,113.4099491,81
87.0617285,113.4099491,82
92.0617285,113.4099491,83
97.0617285,113.4099491,84
102.4215194,113.41,85
107.4215194,113.41,86
107.4215194,108.4099491,87
107.4215194,105.2799998,88
107.4215194,100.2799998,89
107.4215194,95.2799998,90
107.4215194,90.0800002,91
107.4215194,83.2799998,92
107.4215194,78.0800002,93
107.4215194,70.9299998,94
107.4215194,65.7300002,95
107.4215194,58.9299998,96
107.4215194,53.7300002,97
33.9026657,353.2025252,98
